iter	Passed	Remaining
705	9662	31397
706	9675	31381
707	9689	31366
708	9702	31351
709	9715	31334
710	9728	31319
711	9741	31303
712	9755	31291
713	9768	31275
714	9781	31259
715	9794	31244
716	9808	31230
717	9821	31216
718	9835	31201
719	9848	31187
720	9861	31172
721	9875	31157
722	9889	31144
723	9903	31133
724	9917	31119
725	9930	31104
726	9944	31091
727	9959	31081
728	9980	31090
729	9996	31085
730	10010	31071
731	10024	31059
732	10038	31046
733	10051	31032
734	10065	31017
735	10078	31000
736	10091	30987
737	10105	30972
738	10118	30957
739	10131	30942
740	10144	30927
741	10158	30913
742	10172	30900
743	10185	30884
744	10198	30869
745	10211	30853
746	10225	30839
747	10237	30823
748	10250	30806
749	10264	30793
750	10277	30778
751	10290	30763
752	10303	30747
753	10317	30734
754	10331	30720
755	10344	30706
756	10359	30694
757	10372	30679
758	10385	30664
759	10398	30647
760	10411	30633
761	10425	30620
762	10440	30608
763	10454	30596
764	10467	30582
765	10481	30568
766	10494	30553
767	10507	30538
768	10521	30525
769	10534	30509
770	10548	30494
771	10561	30480
772	10574	30466
773	10587	30450
774	10601	30437
775	10615	30424
776	10629	30411
777	10644	30399
778	10657	30384
779	10671	30371
780	10684	30358
781	10698	30345
782	10712	30331
783	10725	30316
784	10739	30302
785	10752	30286
786	10765	30270
787	10778	30255
788	10793	30247
789	10808	30236
790	10822	30223
791	10835	30207
792	10848	30193
793	10862	30178
794	10876	30166
795	10889	30151
796	10902	30136
797	10916	30123
798	10930	30110
799	10944	30098
800	10958	30084
801	10972	30071
802	10985	30056
803	10998	30040
804	11011	30025
805	11025	30012
806	11039	29998
807	11052	29984
808	11066	29969
809	11079	29955
810	11093	29942
811	11106	29927
812	11119	29912
813	11134	29901
814	11148	29887
815	11162	29875
816	11175	29861
817	11189	29848
818	11203	29833
819	11216	29819
820	11229	29804
821	11243	29790
822	11256	29775
823	11271	29766
824	11300	29793
825	11320	29795
826	11335	29784
827	11349	29770
828	11362	29756
829	11376	29744
830	11391	29731
831	11405	29719
832	11419	29706
833	11432	29691
834	11446	29679
835	11460	29666
836	11474	29652
837	11487	29638
838	11501	29624
839	11514	29609
840	11529	29597
841	11542	29582
842	11556	29569
843	11572	29561
844	11588	29554
845	11602	29539
846	11615	29526
847	11629	29512
848	11642	29497
849	11656	29484
850	11670	29471
851	11683	29456
852	11697	29442
853	11710	29427
854	11724	29413
855	11737	29399
856	11751	29384
857	11765	29372
858	11780	29361
859	11793	29346
860	11807	29332
861	11820	29319
862	11834	29305
863	11848	29290
864	11862	29278
865	11876	29267
866	11892	29258
867	11906	29245
868	11920	29232
869	11936	29222
870	11950	29211
871	11964	29198
872	11981	29191
873	11997	29183
874	12013	29175
875	12027	29162
876	12041	29149
877	12055	29136
878	12069	29122
879	12083	29109
880	12097	29096
881	12111	29083
882	12125	29070
883	12140	29059
884	12154	29047
885	12168	29034
886	12183	29023
887	12197	29010
888	12211	28996
889	12224	28982
890	12238	28969
891	12252	28955
892	12266	28943
893	12280	28928
894	12293	28914
895	12308	28903
896	12325	28896
897	12339	28884
898	12353	28870
899	12367	28858
900	12381	28845
901	12395	28831
902	12410	28820
903	12424	28807
904	12439	28795
905	12453	28783
906	12466	28768
907	12480	28754
908	12494	28742
909	12508	28729
910	12522	28714
911	12535	28699
912	12548	28684
913	12561	28669
914	12575	28654
915	12588	28640
916	12602	28626
917	12615	28612
918	12629	28597
919	12643	28585
920	12660	28577
921	12676	28570
922	12692	28560
923	12705	28545
924	12718	28530
925	12731	28515
926	12744	28500
927	12759	28488
928	12773	28476
929	12787	28463
930	12801	28450
931	12816	28437
932	12830	28424
933	12843	28410
934	12857	28396
935	12870	28382
936	12884	28367
937	12897	28352
938	12911	28338
939	12925	28325
940	12939	28313
941	12954	28302
942	12967	28286
943	12981	28273
944	12995	28259
945	13010	28248
946	13024	28236
947	13038	28221
948	13051	28207
949	13066	28195
950	13080	28183
951	13094	28169
952	13107	28154
953	13122	28142
954	13135	28127
955	13149	28114
956	13163	28101
957	13176	28086
958	13189	28071
959	13202	28056
960	13216	28041
961	13229	28026
962	13243	28013
963	13257	28000
964	13270	27985
965	13284	27971
966	13298	27957
967	13312	27944
968	13325	27930
969	13339	27916
970	13352	27900
971	13364	27884
972	13378	27869
973	13391	27854
974	13404	27839
975	13417	27825
976	13430	27809
977	13443	27794
978	13457	27780
979	13470	27765
980	13483	27750
981	13497	27738
982	13511	27723
983	13524	27708
984	13538	27695
985	13551	27680
986	13565	27667
987	13579	27654
988	13593	27639
989	13606	27626
990	13619	27610
991	13632	27594
992	13646	27580
993	13658	27565
994	13671	27550
995	13684	27534
996	13698	27519
997	13711	27504
998	13724	27489
999	13737	27474
1000	13750	27459
1001	13763	27445
1002	13777	27430
1003	13791	27417
1004	13804	27402
1005	13817	27387
1006	13830	27372
1007	13844	27358
1008	13857	27344
1009	13871	27330
1010	13884	27316
1011	13898	27301
1012	13913	27290
1013	13942	27306
1014	13972	27325
1015	13987	27314
1016	14001	27299
1017	14015	27287
1018	14030	27275
1019	14045	27263
1020	14058	27250
1021	14072	27235
1022	14084	27219
1023	14098	27205
1024	14112	27193
1025	14127	27180
1026	14140	27165
1027	14154	27152
1028	14167	27136
1029	14180	27122
1030	14194	27107
1031	14207	27092
1032	14220	27077
1033	14233	27062
1034	14246	27048
1035	14260	27035
1036	14274	27020
1037	14288	27006
1038	14301	26992
1039	14314	26978
1040	14328	26963
1041	14342	26950
1042	14356	26937
1043	14371	26926
1044	14385	26911
1045	14398	26897
1046	14411	26882
1047	14425	26867
1048	14438	26853
1049	14451	26838
1050	14465	26824
1051	14478	26809
1052	14490	26793
1053	14504	26779
1054	14517	26765
1055	14531	26750
1056	14544	26736
1057	14557	26720
1058	14570	26705
1059	14583	26690
1060	14597	26676
1061	14610	26662
1062	14625	26649
1063	14638	26634
1064	14652	26621
1065	14665	26607
1066	14678	26592
1067	14692	26577
1068	14705	26563
1069	14719	26549
1070	14732	26535
1071	14746	26521
1072	14759	26506
1073	14772	26492
1074	14786	26477
1075	14800	26464
1076	14814	26451
1077	14827	26436
1078	14842	26424
1079	14855	26409
1080	14868	26394
1081	14881	26378
1082	14895	26365
1083	14908	26352
1084	14922	26337
1085	14936	26323
1086	14949	26309
1087	14962	26294
1088	14976	26280
1089	14989	26265
1090	15002	26250
1091	15015	26236
1092	15029	26221
1093	15042	26207
1094	15055	26192
1095	15068	26178
1096	15082	26163
1097	15095	26148
1098	15108	26134
1099	15121	26119
1100	15134	26104
1101	15148	26090
1102	15161	26076
1103	15175	26062
1104	15189	26048
1105	15202	26034
1106	15216	26020
1107	15229	26005
1108	15243	25992
1109	15257	25978
1110	15269	25963
1111	15284	25949
1112	15297	25935
1113	15311	25922
1114	15324	25907
1115	15339	25895
1116	15352	25880
1117	15365	25865
1118	15379	25852
1119	15392	25838
1120	15406	25824
1121	15419	25809
1122	15432	25794
1123	15445	25779
1124	15459	25765
1125	15472	25751
1126	15486	25737
1127	15499	25723
1128	15513	25708
1129	15527	25696
1130	15541	25683
1131	15555	25669
1132	15568	25654
1133	15582	25641
1134	15603	25638
1135	15624	25638
1136	15643	25632
1137	15657	25619
1138	15671	25605
1139	15685	25592
1140	15701	25582
1141	15719	25574
1142	15735	25564
1143	15750	25552
1144	15764	25539
1145	15778	25527
1146	15794	25516
1147	15808	25503
1148	15833	25506
1149	15849	25496
